T1: 1(0.98), 3(0.86), 5(0.92), 7(0.82), 9(0.93), 11(0.94), 13(0.85), 15(0.94), 17(0.94), 19(0.99), 21(0.9), 23(0.94), 25(0.83), 27(0.95), 29(0.89), 31(0.85), 34(0.82), 36(0.84), 38(0.96), 40(0.89), 42(0.89), 44(0.91), 46(0.91), 48(0.82), 50(0.98), 52(0.99), 54(0.9), 56(0.97), 58(0.88), 60(0.81), 62(0.88), 64(0.99), 66(0.9), 68(0.88), 70(0.93), 72(0.82), 74(1.0)
T53: 1(0.86), 4(0.98), 5(0.92), 7(0.94), 9(0.95), 11(0.99), 13(0.91), 15(0.81), 17(0.81), 19(0.8), 21(0.89), 24(0.86), 25(0.81), 27(0.94), 29(0.89), 32(0.92), 34(0.86), 36(0.83), 38(0.9), 40(0.95), 42(0.99), 44(0.94), 46(0.96), 48(0.94), 51(0.84), 52(0.9), 54(0.86), 56(0.94), 58(0.88), 60(0.98), 62(0.88), 64(0.9), 66(0.92), 68(0.84), 70(0.98), 72(0.99), 74(0.9)
T54: 1(0.99), 4(0.89), 5(0.97), 7(0.91), 9(0.94), 11(0.87), 13(0.86), 15(0.8), 17(0.93), 19(0.91), 21(1.0), 24(0.82), 25(0.98), 27(0.96), 29(0.92), 32(0.97), 34(0.83), 36(0.95), 38(0.99), 40(0.99), 42(0.95), 44(0.98), 46(0.99), 48(0.86), 51(0.97), 52(0.86), 54(0.9), 56(0.81), 58(0.99), 60(0.87), 62(0.82), 65(0.96), 66(0.92), 68(0.81), 70(0.91), 72(0.91), 74(0.98)
T55: 1(0.86), 4(0.93), 5(0.94), 7(0.89), 9(0.95), 11(0.96), 13(0.82), 16(0.87), 17(1.0), 19(0.95), 21(0.84), 24(0.89), 25(0.98), 27(0.97), 29(0.88), 32(0.93), 34(0.93), 36(0.97), 38(0.87), 40(1.0), 42(0.92), 44(0.85), 46(0.87), 48(1.0), 51(0.97), 52(0.87), 54(0.91), 56(0.93), 58(0.85), 60(0.92), 62(0.87), 64(0.95), 66(0.87), 68(0.96), 70(0.86), 72(0.96), 74(0.81)
T56: 1(0.88), 4(0.86), 5(0.84), 7(0.87), 9(0.96), 11(0.84), 13(0.85), 15(0.98), 17(0.98), 19(0.98), 21(0.89), 24(0.9), 25(0.91), 27(0.83), 29(0.87), 33(0.95), 34(0.85), 36(0.98), 38(0.97), 40(0.95), 42(0.96), 44(0.83), 46(0.84), 48(0.98), 50(0.87), 52(0.99), 54(0.98), 56(0.99), 58(0.85), 60(0.94), 62(0.84), 64(0.87), 66(0.82), 68(0.91), 70(0.99), 73(0.93), 74(0.86)
T57: 1(0.89), 4(0.95), 5(0.96), 7(0.98), 9(0.98), 11(0.91), 13(0.87), 15(0.99), 17(0.95), 19(0.87), 21(0.86), 24(0.98), 25(0.85), 27(0.92), 29(0.98), 32(0.82), 34(0.83), 36(0.9), 38(0.99), 40(0.83), 42(0.8), 44(0.99), 46(1.0), 48(0.9), 51(0.83), 52(0.86), 54(0.89), 56(0.92), 58(0.92), 60(0.83), 62(0.84), 64(0.89), 66(0.86), 68(0.92), 70(0.87), 73(0.95), 74(0.82)
T58: 1(0.94), 4(0.84), 5(0.86), 7(0.88), 9(0.97), 11(0.94), 13(0.83), 15(0.94), 17(0.84), 19(0.81), 21(0.88), 24(0.98), 25(0.99), 27(0.92), 29(0.9), 33(0.82), 34(0.84), 36(0.84), 38(1.0), 40(0.94), 42(0.91), 44(0.9), 46(0.96), 48(0.89), 51(0.89), 52(0.9), 54(0.88), 56(0.8), 58(0.93), 60(0.91), 62(0.83), 64(0.93), 66(0.82), 68(0.94), 70(0.92), 73(0.83), 74(0.84)
T59: 1(0.84), 3(0.89), 5(0.88), 7(0.95), 9(0.86), 11(0.92), 13(0.87), 15(0.84), 17(1.0), 19(0.93), 21(0.8), 23(0.91), 25(0.95), 27(0.91), 29(0.9), 31(0.97), 34(0.93), 36(0.99), 39(0.97), 40(0.89), 42(0.94), 44(0.88), 46(0.88), 48(0.96), 50(0.98), 52(0.81), 54(0.81), 56(0.93), 58(0.95), 60(0.9), 62(0.83), 64(0.97), 66(0.87), 68(0.99), 70(0.81), 72(0.87), 74(0.97)
T60: 1(0.94), 3(0.87), 5(0.95), 7(0.82), 9(0.84), 11(0.94), 13(0.81), 15(1.0), 17(0.91), 19(0.96), 21(0.9), 23(0.98), 25(0.97), 27(0.81), 29(0.84), 31(0.93), 34(0.89), 36(0.89), 39(0.81), 40(0.99), 42(0.92), 44(0.92), 46(0.99), 48(0.9), 50(0.93), 52(0.8), 54(0.94), 56(0.83), 58(0.95), 60(0.99), 62(0.99), 64(0.85), 66(0.95), 68(0.83), 71(0.92), 72(0.92), 74(0.85)
T61: 1(0.81), 3(1.0), 5(0.95), 7(0.83), 9(0.93), 12(0.96), 13(0.86), 15(0.9), 17(0.96), 19(0.9), 21(0.81), 23(0.84), 25(0.95), 27(0.97), 29(0.81), 31(0.8), 34(0.97), 36(0.86), 39(0.93), 40(0.97), 42(0.87), 44(0.87), 46(0.83), 48(0.95), 50(0.98), 52(0.91), 54(0.87), 56(0.88), 58(0.97), 60(0.85), 62(0.89), 64(0.89), 66(0.82), 68(0.99), 70(0.92), 72(0.97), 74(0.9)
T62: 1(0.85), 3(0.83), 5(0.95), 7(0.92), 9(0.83), 12(0.93), 13(0.97), 16(0.85), 17(0.97), 19(0.98), 21(0.86), 23(0.92), 25(0.87), 27(1.0), 29(0.98), 31(0.92), 34(0.98), 36(0.85), 39(0.92), 40(0.96), 42(0.92), 44(0.84), 46(0.9), 48(0.91), 50(0.97), 52(0.82), 54(0.93), 56(0.95), 58(0.95), 60(0.86), 62(0.82), 64(0.83), 66(0.88), 68(0.99), 70(0.88), 72(0.89), 74(0.91)
T63: 1(0.87), 3(0.93), 5(0.89), 7(0.86), 9(0.87), 12(0.91), 13(0.95), 16(0.86), 17(0.98), 19(0.87), 21(0.89), 23(0.97), 25(0.83), 27(0.94), 29(0.85), 31(0.96), 34(0.9), 36(0.88), 39(0.89), 40(0.95), 42(0.95), 44(0.9), 46(0.81), 48(0.93), 50(0.98), 52(0.91), 54(0.86), 56(0.82), 58(0.99), 60(0.92), 62(0.86), 64(0.87), 66(0.92), 68(0.89), 71(0.91), 72(0.98), 74(0.87)
T64: 1(0.8), 3(1.0), 5(0.86), 7(0.91), 9(0.93), 11(0.95), 13(0.8), 15(0.89), 17(0.96), 19(0.89), 21(0.98), 23(1.0), 25(0.91), 27(0.84), 29(0.85), 31(0.81), 34(0.91), 36(0.92), 39(0.95), 40(0.94), 42(0.82), 44(0.92), 46(0.9), 48(0.89), 51(0.85), 52(0.85), 54(0.94), 56(0.81), 58(0.87), 60(0.83), 62(0.84), 64(1.0), 66(0.82), 68(0.99), 70(0.8), 72(0.8), 74(0.92)
T65: 1(0.91), 3(0.86), 5(0.82), 7(0.88), 9(0.85), 11(0.99), 13(0.89), 15(0.92), 17(0.94), 19(0.89), 21(0.93), 23(0.88), 25(0.89), 27(0.8), 29(0.94), 31(0.93), 34(0.94), 36(0.95), 39(0.86), 40(0.8), 42(0.98), 44(0.9), 46(0.93), 48(0.81), 51(0.99), 52(0.82), 54(0.8), 56(0.94), 58(0.91), 60(0.91), 62(0.94), 64(1.0), 66(0.93), 68(0.83), 71(0.91), 72(0.83), 74(0.95)
T66: 1(0.98), 3(0.87), 5(0.92), 7(0.81), 9(0.9), 12(0.94), 13(0.84), 15(0.95), 17(0.8), 19(0.81), 21(0.92), 23(0.85), 25(0.96), 27(0.84), 29(0.8), 31(0.93), 34(0.99), 36(0.86), 39(0.81), 40(0.98), 42(0.81), 44(0.93), 46(1.0), 48(0.91), 51(0.91), 52(0.86), 54(0.89), 56(0.98), 58(0.87), 60(0.99), 62(0.9), 64(0.95), 66(0.98), 68(0.94), 70(0.86), 72(0.92), 74(0.84)
T67: 1(0.93), 3(0.91), 5(0.85), 7(0.86), 9(0.8), 11(0.82), 13(0.98), 15(0.85), 17(1.0), 19(0.9), 21(0.93), 23(0.88), 25(0.81), 27(0.82), 29(0.88), 31(0.91), 34(0.87), 36(0.81), 39(0.86), 40(0.93), 42(0.9), 44(0.93), 46(0.9), 48(0.9), 51(0.93), 52(0.89), 54(0.94), 56(0.93), 58(0.99), 60(0.82), 63(0.89), 64(0.92), 66(0.85), 68(0.83), 71(0.9), 72(0.98), 74(0.81)
T68: 1(0.82), 3(0.81), 5(0.97), 7(0.88), 9(0.84), 12(0.97), 13(0.86), 16(0.99), 17(0.87), 19(0.99), 21(0.81), 23(0.82), 25(0.83), 27(0.8), 29(0.99), 31(0.88), 34(0.91), 36(0.94), 39(0.82), 40(1.0), 42(0.83), 44(0.8), 46(0.86), 48(0.88), 51(0.94), 52(0.83), 54(0.98), 56(0.82), 58(0.86), 60(0.99), 62(0.81), 64(0.85), 66(0.81), 68(0.89), 70(0.98), 72(0.94), 74(0.82)
T69: 1(0.82), 3(0.93), 5(0.93), 7(0.82), 9(0.97), 12(0.85), 13(0.97), 16(0.81), 17(0.8), 19(0.8), 21(0.96), 23(0.85), 25(0.91), 27(0.89), 29(0.88), 31(0.96), 34(0.84), 36(0.82), 39(0.96), 40(0.93), 42(0.93), 44(0.96), 46(0.8), 48(0.87), 51(0.89), 52(0.83), 54(0.94), 56(0.93), 58(0.85), 60(0.81), 62(0.86), 64(0.91), 66(0.96), 68(0.92), 71(0.81), 72(0.85), 74(0.88)
T70: 1(0.8), 3(0.86), 5(0.9), 7(0.86), 9(0.99), 11(0.84), 13(0.95), 15(0.81), 17(0.87), 19(0.85), 21(0.94), 23(0.95), 25(0.97), 27(0.97), 29(0.9), 31(0.86), 34(0.82), 36(0.97), 39(0.87), 40(0.97), 42(0.83), 44(0.93), 46(0.94), 48(0.84), 51(0.88), 52(0.89), 54(0.93), 56(0.93), 58(0.99), 60(0.82), 62(0.81), 64(0.83), 66(0.89), 69(0.92), 71(0.87), 72(0.88), 74(0.96)
T71: 1(0.9), 3(0.81), 5(0.92), 7(0.89), 9(0.82), 11(0.8), 13(0.97), 15(0.83), 17(0.9), 19(0.93), 21(0.92), 24(0.99), 25(0.95), 27(0.82), 29(0.82), 31(0.97), 34(0.86), 36(0.92), 39(0.84), 40(0.94), 42(0.91), 44(0.91), 46(0.94), 48(0.93), 50(0.82), 52(0.92), 54(0.85), 56(0.86), 58(0.96), 60(0.89), 62(0.88), 64(0.84), 66(0.87), 68(0.94), 71(0.91), 72(0.9), 74(0.93)
T72: 1(0.81), 3(0.94), 5(0.86), 7(0.86), 9(0.87), 11(0.92), 13(0.87), 15(0.86), 17(0.87), 19(0.88), 21(0.96), 24(0.89), 25(0.93), 27(1.0), 29(0.98), 31(0.91), 34(0.92), 36(0.92), 39(0.97), 40(0.81), 42(0.84), 44(0.93), 46(0.9), 48(0.83), 50(0.82), 52(0.9), 54(0.82), 56(0.96), 58(0.86), 60(0.81), 62(0.83), 65(0.88), 66(0.89), 68(0.95), 71(0.96), 72(0.93), 74(0.95)
T73: 1(1.0), 3(0.82), 5(0.81), 7(0.86), 9(0.93), 12(0.87), 13(0.96), 15(1.0), 17(0.84), 19(0.99), 21(0.9), 24(0.8), 25(0.82), 27(0.89), 29(0.86), 31(0.91), 34(0.96), 36(0.81), 39(0.98), 40(0.92), 42(0.86), 44(0.84), 46(0.92), 48(0.9), 50(0.83), 52(0.93), 54(0.86), 56(0.85), 58(0.9), 60(0.85), 62(0.97), 65(0.9), 66(0.83), 68(0.85), 71(0.93), 72(0.88), 74(0.83)
T74: 1(0.94), 3(0.83), 5(0.9), 7(0.89), 10(0.97), 12(0.88), 13(0.89), 15(0.96), 17(0.8), 19(0.9), 21(0.88), 24(0.83), 25(0.8), 27(0.83), 29(0.83), 31(0.96), 34(0.8), 36(0.93), 39(0.99), 40(0.87), 42(0.86), 44(0.81), 46(0.87), 48(0.84), 50(0.8), 52(0.98), 54(0.88), 56(0.95), 58(0.98), 60(0.9), 62(0.84), 65(0.94), 66(0.92), 68(0.84), 71(0.82), 72(0.83), 74(0.99)
T75: 1(0.88), 3(0.9), 5(0.86), 7(0.97), 9(0.95), 12(0.86), 13(0.94), 16(0.81), 17(0.82), 19(0.81), 21(0.9), 24(0.91), 25(0.97), 27(0.8), 29(1.0), 31(0.92), 34(0.98), 36(0.82), 39(0.87), 40(0.91), 42(0.83), 44(0.85), 46(0.84), 48(0.83), 50(0.88), 52(0.94), 54(0.91), 56(0.98), 58(1.0), 60(0.85), 62(0.97), 64(0.88), 66(0.85), 68(0.86), 71(0.88), 72(0.84), 74(0.82)
T76: 1(0.95), 3(0.94), 5(0.95), 7(0.9), 9(0.98), 11(0.94), 13(0.88), 15(0.97), 17(0.81), 19(0.84), 21(0.81), 24(0.93), 25(0.88), 27(0.93), 29(0.96), 31(0.88), 34(0.86), 36(0.97), 39(0.87), 40(1.0), 42(0.95), 44(0.84), 46(0.97), 48(0.92), 51(0.98), 52(0.91), 54(0.98), 56(0.95), 58(0.98), 60(0.9), 62(0.98), 64(1.0), 66(0.9), 68(0.96), 71(0.97), 72(0.84), 74(0.84)
T77: 1(0.82), 3(0.92), 5(0.91), 7(0.91), 9(0.81), 12(0.98), 13(0.98), 15(0.92), 17(1.0), 19(0.8), 21(0.81), 24(0.9), 25(0.81), 27(0.9), 29(0.9), 31(0.97), 34(0.95), 36(0.8), 39(0.98), 40(0.83), 42(0.95), 44(1.0), 46(0.96), 48(0.85), 51(0.93), 52(0.83), 54(0.89), 56(0.82), 58(0.85), 60(0.96), 62(0.89), 64(0.9), 66(0.92), 68(0.84), 71(0.87), 72(0.85), 74(0.98)
T78: 1(0.92), 3(0.92), 5(0.85), 7(0.84), 9(0.88), 11(0.99), 13(0.83), 15(0.88), 17(0.81), 19(0.99), 21(0.83), 24(0.83), 25(0.99), 27(0.94), 29(0.96), 31(0.81), 34(0.99), 36(0.9), 39(1.0), 40(0.87), 42(0.94), 44(1.0), 46(0.95), 48(0.92), 51(0.94), 52(0.94), 54(0.81), 56(0.88), 58(0.95), 60(0.82), 62(0.88), 65(0.81), 66(0.98), 68(0.97), 71(0.89), 72(0.87), 74(0.92)
T79: 1(0.95), 3(0.84), 5(0.94), 7(0.97), 9(0.9), 12(0.93), 13(0.85), 16(0.81), 17(0.82), 19(0.95), 21(0.98), 24(0.94), 25(0.89), 27(0.82), 29(0.98), 31(0.98), 34(0.85), 36(0.88), 39(0.88), 40(0.89), 42(0.86), 44(0.93), 46(0.88), 48(0.87), 51(0.94), 52(0.91), 54(0.9), 56(0.92), 58(0.92), 60(0.82), 62(0.96), 64(0.81), 66(0.9), 68(0.99), 71(0.98), 72(0.84), 74(0.96)
T80: 1(0.91), 3(0.87), 5(0.85), 7(0.8), 9(0.98), 11(0.88), 13(0.86), 15(0.89), 17(1.0), 19(0.97), 21(0.91), 24(0.91), 25(0.83), 27(0.87), 29(0.96), 31(0.81), 34(0.97), 36(0.94), 39(0.9), 40(0.98), 42(0.85), 44(0.84), 46(0.93), 48(0.91), 50(0.94), 52(0.85), 54(0.9), 56(0.84), 58(0.81), 60(0.99), 62(0.93), 65(0.82), 66(0.87), 68(0.96), 71(0.91), 73(0.84), 74(0.99)
T81: 1(0.98), 3(0.82), 5(0.88), 7(0.96), 9(0.98), 11(0.91), 13(0.96), 15(0.92), 17(0.89), 19(0.86), 21(0.85), 24(0.8), 25(0.9), 27(0.97), 29(0.82), 31(0.9), 34(0.86), 36(1.0), 39(0.97), 40(0.83), 42(0.91), 44(0.84), 46(0.83), 48(0.94), 50(0.91), 52(0.89), 54(0.81), 56(0.88), 58(0.83), 60(0.9), 62(0.82), 65(0.97), 66(0.83), 69(0.83), 71(0.88), 73(1.0), 74(0.99)
T82: 1(0.98), 3(0.93), 5(0.99), 7(0.94), 9(0.8), 11(0.97), 13(0.9), 15(0.82), 17(0.87), 19(0.96), 21(0.97), 24(0.98), 25(0.84), 27(0.92), 29(0.83), 31(0.9), 34(0.99), 36(0.82), 39(0.98), 40(0.94), 42(0.91), 44(0.84), 46(0.89), 48(0.84), 51(0.95), 52(0.9), 54(0.83), 56(0.83), 58(0.89), 60(0.83), 62(0.8), 65(0.83), 66(0.86), 68(0.81), 71(0.97), 73(0.97), 74(0.89)
T83: 1(0.98), 3(0.95), 5(0.89), 7(0.93), 9(0.96), 11(0.82), 13(0.97), 15(1.0), 17(0.85), 19(0.85), 21(0.96), 24(0.91), 25(0.94), 27(0.94), 29(0.94), 31(0.81), 34(0.92), 36(0.81), 39(0.89), 40(0.84), 42(0.97), 44(0.99), 46(0.87), 48(1.0), 51(0.91), 52(0.91), 54(0.92), 56(0.88), 58(0.93), 60(0.98), 62(0.89), 65(0.84), 66(0.85), 69(0.86), 71(0.88), 73(0.97), 74(0.86)
T84: 1(0.87), 3(0.94), 5(0.86), 7(0.87), 9(1.0), 11(0.86), 13(0.9), 15(0.9), 17(0.87), 19(0.83), 21(0.87), 24(0.88), 25(0.83), 27(0.99), 29(0.86), 32(0.87), 34(0.98), 36(0.9), 39(0.91), 40(0.92), 42(0.92), 44(0.84), 46(0.95), 48(0.99), 50(0.83), 52(0.84), 54(0.84), 56(0.91), 58(0.83), 60(0.96), 62(0.8), 64(0.89), 66(0.8), 68(0.9), 70(0.85), 72(0.95), 74(0.87)
T85: 1(0.99), 3(0.99), 5(0.95), 7(0.88), 9(0.94), 11(0.8), 13(0.82), 15(0.85), 17(0.83), 19(0.87), 21(0.97), 24(0.84), 25(0.9), 27(0.86), 29(0.93), 32(0.84), 34(0.88), 36(0.98), 39(0.9), 40(0.99), 42(0.89), 44(1.0), 46(0.85), 48(0.85), 50(0.92), 52(0.94), 54(0.99), 56(0.83), 58(0.98), 60(0.94), 62(0.91), 65(0.86), 66(0.83), 68(0.97), 71(0.98), 72(0.85), 74(0.88)
T86: 1(0.97), 3(0.99), 5(0.93), 7(0.83), 9(0.91), 11(0.88), 13(0.89), 15(0.8), 17(0.99), 19(0.91), 21(0.84), 24(0.95), 25(0.92), 27(0.99), 29(1.0), 32(0.99), 34(0.87), 36(0.87), 39(0.97), 40(0.98), 43(0.82), 44(0.85), 46(0.86), 48(0.89), 50(0.97), 52(0.95), 54(0.98), 56(1.0), 58(0.91), 60(0.8), 62(0.94), 65(0.96), 66(0.98), 68(0.86), 70(0.95), 72(0.84), 74(0.94)
T87: 1(0.92), 3(0.87), 5(0.87), 7(0.96), 9(0.9), 12(0.82), 13(0.85), 16(0.91), 17(0.83), 19(0.93), 21(0.83), 24(0.81), 25(0.97), 27(0.98), 29(0.98), 32(0.95), 34(0.88), 36(0.82), 39(0.89), 40(0.82), 42(0.83), 44(0.89), 46(0.97), 48(0.82), 50(0.92), 52(0.84), 54(0.83), 56(0.83), 58(0.9), 60(0.8), 62(0.85), 64(0.92), 66(0.95), 68(0.88), 70(0.98), 72(0.94), 74(0.95)
T88: 1(0.94), 3(0.85), 5(0.99), 7(0.98), 9(0.93), 12(0.85), 13(0.83), 16(0.96), 17(0.98), 19(0.9), 21(0.87), 24(0.84), 25(0.96), 27(0.87), 29(0.86), 32(0.84), 34(0.95), 36(0.89), 39(0.95), 40(0.93), 42(0.92), 44(0.95), 46(0.81), 48(0.81), 50(0.95), 52(0.85), 54(0.9), 56(0.95), 58(0.94), 60(0.89), 62(0.87), 64(0.98), 66(0.88), 68(0.87), 71(0.97), 72(0.98), 74(0.95)
T89: 1(0.95), 3(1.0), 5(0.89), 7(0.87), 9(0.9), 11(0.81), 13(1.0), 15(0.85), 17(0.91), 19(0.81), 21(0.83), 24(0.99), 25(0.99), 27(0.92), 29(0.98), 32(0.83), 34(0.94), 36(0.92), 39(0.98), 40(0.91), 42(0.97), 44(0.81), 46(0.9), 48(0.99), 51(0.82), 52(0.96), 54(0.85), 56(0.99), 58(0.96), 60(0.83), 62(0.92), 64(0.98), 66(0.91), 68(0.85), 70(0.95), 72(0.95), 74(0.97)
T90: 1(0.89), 3(0.91), 5(0.97), 7(0.81), 9(0.91), 11(0.98), 13(0.86), 15(0.85), 17(0.87), 19(0.9), 21(0.92), 24(0.95), 25(0.9), 27(0.98), 29(0.91), 32(0.89), 34(0.98), 36(0.9), 39(0.92), 40(0.82), 42(0.83), 44(0.86), 46(0.95), 48(0.98), 51(0.9), 52(0.89), 54(0.93), 56(0.92), 58(0.86), 60(1.0), 62(0.88), 65(0.85), 66(0.95), 68(0.94), 71(0.85), 72(0.94), 74(0.84)
T91: 1(0.88), 3(0.92), 5(0.95), 7(0.99), 9(0.91), 12(0.96), 13(0.91), 16(0.94), 17(0.96), 19(0.88), 21(0.88), 24(0.86), 25(0.95), 27(0.93), 29(0.84), 32(0.96), 34(0.96), 36(0.99), 39(0.97), 40(0.97), 42(0.81), 44(0.91), 46(0.92), 48(0.97), 51(0.96), 52(0.83), 54(0.83), 56(0.83), 58(0.82), 60(0.93), 62(0.91), 64(0.82), 66(0.98), 68(0.85), 71(0.85), 72(0.9), 74(0.88)
T92: 1(0.87), 3(0.81), 5(0.81), 7(0.83), 9(0.99), 11(0.86), 13(0.92), 15(0.95), 17(0.99), 20(0.83), 21(0.91), 24(0.96), 25(0.8), 27(0.95), 29(0.93), 32(0.86), 34(0.82), 36(0.85), 39(0.93), 40(0.88), 42(0.92), 44(0.9), 47(0.88), 48(0.94), 51(1.0), 52(0.88), 54(0.83), 56(0.83), 58(0.85), 60(0.8), 62(0.86), 64(0.97), 66(0.89), 68(0.85), 70(0.85), 72(0.96), 74(0.97)
T93: 1(0.81), 3(0.92), 5(0.81), 7(0.97), 9(0.85), 11(0.84), 13(0.8), 16(0.93), 17(0.99), 20(0.83), 21(0.94), 24(0.97), 25(0.83), 27(0.94), 29(0.96), 32(0.89), 34(0.9), 36(0.93), 39(0.83), 40(0.96), 42(0.93), 44(1.0), 47(0.95), 48(1.0), 51(0.85), 52(0.92), 54(0.9), 56(0.83), 58(0.99), 60(0.85), 62(0.86), 64(0.95), 66(0.86), 68(0.83), 70(0.91), 72(0.95), 74(0.93)
T94: 1(0.86), 3(0.91), 5(0.95), 7(0.89), 9(0.98), 11(0.82), 13(0.92), 15(0.8), 17(0.92), 19(0.95), 21(0.81), 24(0.97), 25(0.93), 27(0.9), 29(0.8), 32(0.93), 34(0.93), 36(0.84), 39(0.87), 40(0.94), 42(1.0), 44(0.98), 46(0.8), 48(0.84), 50(0.88), 52(0.97), 54(0.84), 56(0.88), 58(0.97), 60(0.92), 62(0.86), 64(0.87), 66(0.84), 68(0.93), 70(0.91), 73(0.95), 74(0.92)
T95: 1(0.92), 3(0.82), 5(0.94), 7(0.82), 9(0.94), 11(0.86), 13(0.96), 15(0.85), 17(0.84), 19(0.8), 21(0.95), 24(0.96), 25(0.93), 27(0.85), 29(0.93), 32(0.92), 34(0.87), 36(0.9), 39(0.89), 40(0.9), 42(0.85), 44(0.9), 46(0.99), 48(0.98), 50(0.83), 52(0.91), 54(0.96), 56(0.88), 58(0.8), 60(0.91), 62(0.97), 65(0.83), 66(0.95), 68(0.97), 71(0.8), 73(0.99), 74(0.94)
T96: 1(0.96), 3(0.81), 5(0.93), 7(0.85), 9(0.83), 11(0.84), 13(0.87), 16(0.86), 17(0.86), 19(0.97), 21(0.99), 24(0.85), 25(0.82), 27(0.88), 29(0.92), 32(0.87), 34(0.81), 36(0.87), 39(0.95), 40(0.94), 42(0.92), 44(0.93), 46(0.98), 48(1.0), 50(0.99), 52(0.9), 54(0.81), 56(0.98), 58(0.84), 60(0.86), 62(0.99), 64(0.84), 66(0.82), 68(0.84), 70(0.93), 73(0.98), 74(0.88)
T97: 1(0.94), 3(0.96), 5(0.97), 7(0.93), 9(0.85), 12(0.97), 13(0.9), 16(0.9), 17(0.98), 19(0.83), 21(0.9), 24(0.96), 25(0.84), 27(0.81), 29(0.9), 32(0.83), 34(0.93), 36(0.84), 39(0.86), 40(0.98), 42(0.96), 44(0.97), 46(0.99), 48(0.91), 50(0.94), 52(0.89), 54(0.9), 56(0.89), 58(0.9), 60(0.93), 62(0.81), 64(0.81), 66(0.98), 68(0.85), 71(0.87), 73(0.85), 74(0.86)
T98: 1(0.91), 3(0.92), 5(0.82), 7(0.84), 9(0.93), 11(0.9), 13(1.0), 15(0.97), 17(0.99), 20(0.96), 21(0.94), 24(1.0), 25(0.84), 27(0.98), 29(0.93), 32(0.98), 34(0.99), 36(0.82), 39(0.83), 40(0.86), 42(0.95), 44(0.98), 47(0.91), 48(0.86), 50(0.99), 52(0.91), 54(0.82), 56(0.9), 58(0.94), 60(0.99), 62(0.82), 64(0.82), 66(0.83), 68(0.89), 70(0.93), 73(0.83), 74(0.86)
T99: 1(0.91), 3(0.8), 5(0.91), 7(0.91), 9(0.88), 11(0.97), 13(0.96), 15(0.91), 17(0.86), 19(0.87), 21(0.83), 24(0.97), 25(0.84), 27(0.93), 29(0.95), 32(0.82), 34(0.92), 36(0.93), 39(0.88), 40(0.9), 42(0.84), 44(0.92), 46(0.97), 48(0.87), 51(0.92), 52(0.85), 54(0.89), 56(0.91), 58(0.94), 60(0.82), 62(0.84), 64(0.97), 66(0.94), 68(0.98), 70(0.91), 73(0.97), 74(0.96)
T100: 1(0.93), 3(0.95), 5(0.81), 7(0.9), 9(0.9), 12(0.82), 13(0.84), 16(0.82), 18(0.91), 20(0.84), 21(0.94), 23(0.9), 25(0.83), 27(0.89), 29(0.92), 31(0.86), 34(0.8), 36(0.81), 38(0.82), 40(0.83), 42(0.88), 44(0.85), 46(0.99), 48(0.84), 50(0.81), 52(1.0), 54(0.81), 56(0.85), 58(0.93), 60(0.93), 62(0.88), 64(0.96), 66(0.88), 68(0.85), 70(0.92), 72(0.82), 74(0.87)
T101: 1(0.88), 3(0.92), 5(0.86), 7(0.82), 9(1.0), 12(0.82), 13(0.92), 16(0.94), 18(0.85), 20(0.86), 21(0.89), 23(0.91), 25(0.97), 27(0.96), 29(0.84), 31(0.85), 34(0.82), 36(0.88), 38(0.81), 40(0.81), 42(0.97), 44(0.97), 47(0.94), 48(0.97), 50(0.96), 52(0.97), 54(0.91), 56(0.96), 58(0.91), 60(0.83), 62(1.0), 64(0.97), 66(0.84), 68(0.84), 70(0.96), 72(0.84), 74(0.87)
T102: 1(0.94), 3(0.84), 5(0.95), 7(0.99), 9(0.88), 11(0.88), 13(0.99), 16(0.82), 18(0.83), 20(0.88), 21(0.96), 24(0.88), 25(0.8), 27(0.87), 29(0.85), 31(1.0), 34(0.87), 36(0.97), 38(0.98), 40(0.83), 42(0.87), 44(0.85), 46(0.82), 48(0.85), 50(1.0), 52(0.87), 54(0.91), 56(0.9), 58(1.0), 60(0.89), 62(0.82), 64(0.97), 66(0.95), 68(0.97), 70(0.99), 72(0.96), 74(0.91)
T103: 1(0.88), 3(0.81), 5(0.88), 7(0.82), 9(0.84), 12(0.84), 13(0.84), 16(0.99), 18(0.93), 20(0.9), 21(0.87), 24(0.95), 25(0.99), 27(0.84), 29(0.85), 31(0.85), 34(0.99), 36(0.93), 38(0.83), 40(0.86), 42(0.85), 44(0.83), 46(0.83), 48(0.99), 50(0.83), 52(0.92), 54(0.98), 56(0.86), 58(1.0), 60(0.82), 62(0.94), 64(0.93), 66(0.91), 68(0.88), 70(0.98), 72(0.95), 74(0.98)
T104: 1(0.9), 3(0.97), 5(0.97), 7(0.9), 9(0.9), 11(0.89), 13(0.86), 16(0.89), 18(0.88), 20(0.9), 21(0.84), 24(0.96), 25(0.92), 27(0.81), 29(0.97), 31(0.84), 34(0.91), 36(0.93), 38(0.93), 40(0.93), 42(0.82), 44(0.87), 47(0.93), 48(0.9), 50(0.88), 52(0.93), 54(0.87), 56(0.93), 58(0.83), 60(0.89), 62(0.99), 64(0.99), 66(0.98), 68(0.91), 70(0.94), 72(0.81), 74(0.84)
